Input phrase,Similarity scores
lack of available tools,"[0.711228609085083, 0.7664258480072021, 0.7219293117523193, 0.6996594071388245, 0.73100346326828, 0.670248806476593, 0.6784508228302002, 0.714354395866394, 0.7420512437820435, 0.6473503112792969, 0.6080748438835144]"
disorganized set up,"[0.6701857447624207, 0.6622312068939209, 0.6681148409843445, 0.6957188844680786, 0.715565025806427, 0.7126946449279785, 0.6572936177253723, 0.6780495047569275, 0.7055742144584656, 0.6995673179626465, 0.6543200612068176]"
Lathe too tight ,"[0.8785066604614258, 0.6972072124481201, 0.6508407592773438, 0.6918006539344788, 0.6840640306472778, 0.7501243352890015, 0.7882184386253357, 0.6334834694862366, 0.6647106409072876, 0.5876583456993103, 0.6043702363967896]"
Scraps too small in bin,"[0.6750957369804382, 0.6730217933654785, 0.6893267035484314, 0.7010810971260071, 0.7232924699783325, 0.6835341453552246, 0.6471827030181885, 0.8166753053665161, 0.685126006603241, 0.7198214530944824, 0.6338657736778259]"
messy machines ,"[0.6865214109420776, 0.6737611293792725, 0.6514517664909363, 0.6876063942909241, 0.6647758483886719, 0.7766308784484863, 0.7084924578666687, 0.682774543762207, 0.6934309005737305, 0.6974440813064575, 0.6242538690567017]"
trash bag had hole ,"[0.6697301864624023, 0.6364723443984985, 0.6759064197540283, 0.6452197432518005, 0.7209199070930481, 0.7006649971008301, 0.6825021505355835, 0.7425606846809387, 0.6835453510284424, 0.8487758040428162, 0.6379444003105164]"
people bumping into her ,"[0.6476501226425171, 0.6070219278335571, 0.6226957440376282, 0.672616720199585, 0.6905364990234375, 0.6598945260047913, 0.7449916005134583, 0.6246248483657837, 0.6350146532058716, 0.6691966652870178, 0.6208856701850891]"
The miter saw table was too high and awkward.,"[0.7214219570159912, 0.6928264498710632, 0.683273434638977, 0.9061253070831299, 0.7090970873832703, 0.7064993381500244, 0.7268041372299194, 0.7175416350364685, 0.6604486107826233, 0.6400982141494751, 0.6318772435188293]"
The trash was filled with wood chips that had to be taken out.,"[0.6806714534759521, 0.6571492552757263, 0.671288788318634, 0.6649160385131836, 0.7474261522293091, 0.805279016494751, 0.679644763469696, 0.8425116539001465, 0.7173523306846619, 0.8249219059944153, 0.6788855791091919]"
The only drills out were the hand drills.,"[0.6582096219062805, 0.8010088205337524, 0.6923691630363464, 0.6136632561683655, 0.6488365530967712, 0.6450487971305847, 0.6681180000305176, 0.62836754322052, 0.7129400968551636, 0.6009745597839355, 0.5830560922622681]"
Clamping the pen was hard.,"[0.7734563946723938, 0.6933833360671997, 0.6977484226226807, 0.6783534288406372, 0.772468090057373, 0.671505331993103, 0.7197895050048828, 0.6725291013717651, 0.6593603491783142, 0.6621790528297424, 0.6542869806289673]"
The only gloves out were larger which made the epoxy process hard.,"[0.7211849689483643, 0.7324414849281311, 0.8687087297439575, 0.6764476299285889, 0.6660526394844055, 0.6998061537742615, 0.6966766715049744, 0.6959089636802673, 0.6799048185348511, 0.659175455570221, 0.7195247411727905]"
The lathe was covered in sawdust and chips.,"[0.7858445048332214, 0.6983813047409058, 0.6893215179443359, 0.7250106930732727, 0.6996469497680664, 0.9476096034049988, 0.7773983478546143, 0.7298620939254761, 0.7220942378044128, 0.7132348418235779, 0.6648905277252197]"
Using the chuck on the lathe was hard because it was so tight.,"[0.8868907690048218, 0.7248436212539673, 0.6954138875007629, 0.6777718663215637, 0.7273014783859253, 0.7470985054969788, 0.7942201495170593, 0.6798105835914612, 0.7112134099006653, 0.6541135907173157, 0.6495124101638794]"
Couldn't find a proper drill,"[0.7415314316749573, 0.779464840888977, 0.6978687644004822, 0.6483582258224487, 0.7119916081428528, 0.6747009754180908, 0.7070268392562866, 0.6717656850814819, 0.8070581555366516, 0.6655376553535461, 0.6634910106658936]"
misc scraps left in scrap bin,"[0.63289475440979, 0.6404752731323242, 0.6485493779182434, 0.647799551486969, 0.7367790937423706, 0.7177501320838928, 0.6409907341003418, 0.7495474219322205, 0.6583643555641174, 0.734326183795929, 0.6355130076408386]"
hole in the garbage bag,"[0.6558602452278137, 0.6155640482902527, 0.6539500951766968, 0.6588394045829773, 0.7031992077827454, 0.688208818435669, 0.6688272953033447, 0.7283247113227844, 0.6814744472503662, 0.8273910284042358, 0.6331965327262878]"
24 hour set epoxy,"[0.6371572613716125, 0.6317773461341858, 0.7466922402381897, 0.6234517097473145, 0.6269675493240356, 0.6676033735275269, 0.6422260999679565, 0.5876790881156921, 0.6130415797233582, 0.6087765693664551, 0.867398202419281]"
had to clean up after prior lathe user,"[0.8178112506866455, 0.6669294834136963, 0.712963879108429, 0.702690064907074, 0.7485042214393616, 0.8815824389457703, 0.8109427690505981, 0.6978771090507507, 0.7052944898605347, 0.7236572504043579, 0.6878092288970947]"
accidentally hit the emergency stop button,"[0.6571458578109741, 0.6569555997848511, 0.6604717969894409, 0.6587556600570679, 0.7206336259841919, 0.6462982296943665, 0.8294032216072083, 0.6651062965393066, 0.6802560687065125, 0.7303987145423889, 0.6730639338493347]"
had too much material,"[0.7532840967178345, 0.7014490365982056, 0.7357894778251648, 0.6822312474250793, 0.6974037885665894, 0.7021013498306274, 0.6832890510559082, 0.7311424612998962, 0.650520384311676, 0.7104669809341431, 0.6750333309173584]"
Some scrap left in the scrap pile was uselessly small,"[0.6928654909133911, 0.6972434520721436, 0.7104888558387756, 0.69504314661026, 0.7714264392852783, 0.7309909462928772, 0.6704102754592896, 0.8887695670127869, 0.7171359658241272, 0.7474628686904907, 0.6593419909477234]"
The trash bin was overfull and had to be taken out,"[0.6968201398849487, 0.6370131969451904, 0.6873176693916321, 0.6591532230377197, 0.7740147113800049, 0.6951938271522522, 0.6785799860954285, 0.779384970664978, 0.65203458070755, 0.8115906715393066, 0.6797311902046204]"
The Miter saw was too tall,"[0.7315331697463989, 0.7079590559005737, 0.6914685964584351, 0.8715994358062744, 0.7123972773551941, 0.7315202355384827, 0.7303873300552368, 0.7197691202163696, 0.6841595768928528, 0.6753323674201965, 0.649053156375885]"
The 12v drills were in an unlabeled cabinet,"[0.6991318464279175, 0.8040299415588379, 0.6484544277191162, 0.6870626211166382, 0.7056159377098083, 0.7248841524124146, 0.7133774757385254, 0.667134702205658, 0.89068603515625, 0.6427425742149353, 0.6562657952308655]"
He had to search for a clamp because they weren't properly put away,"[0.7692351937294006, 0.6917906403541565, 0.6946613788604736, 0.6896600127220154, 0.9212544560432434, 0.6992954015731812, 0.7076902985572815, 0.7382028698921204, 0.7410640716552734, 0.7118609547615051, 0.6800409555435181]"
The lathe was dirty,"[0.8175851106643677, 0.6975644826889038, 0.6702104806900024, 0.700832188129425, 0.6992397308349609, 0.8871676325798035, 0.7944735288619995, 0.7192938923835754, 0.7008498907089233, 0.6929945349693298, 0.6535382866859436]"
"The walkway next to the lathe was too tight, so someone bumped the e-stop when they were trying to walk past","[0.844478189945221, 0.7096843123435974, 0.7288734316825867, 0.7323855757713318, 0.7491493821144104, 0.7693061232566833, 0.8701810836791992, 0.6976794004440308, 0.7004978060722351, 0.715432345867157, 0.6782165765762329]"
Ripped trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
Mitre saw a large size,"[0.6556708812713623, 0.679435670375824, 0.6996902823448181, 0.7870376706123352, 0.6588361263275146, 0.7121484279632568, 0.7089255452156067, 0.6612499952316284, 0.6746874451637268, 0.6577351093292236, 0.6045587658882141]"
Dusty saw blade,"[0.625232994556427, 0.6207948327064514, 0.6058535575866699, 0.7109464406967163, 0.6473978161811829, 0.7675532698631287, 0.6615337133407593, 0.679631769657135, 0.6626692414283752, 0.6680100560188293, 0.5982275605201721]"
Accidentally tapped E-stop,"[0.6704013347625732, 0.6647888422012329, 0.6691508293151855, 0.649477481842041, 0.741174042224884, 0.6687374711036682, 0.7996667623519897, 0.6642774939537048, 0.6760643720626831, 0.7343166470527649, 0.6647388339042664]"
18V instead of 12V,"[0.6435902714729309, 0.763494074344635, 0.597769558429718, 0.6337445378303528, 0.5909376740455627, 0.6231482625007629, 0.6402208209037781, 0.5901299118995667, 0.7403269410133362, 0.6149017214775085, 0.6511369943618774]"
Clamps out of place,"[0.7506205439567566, 0.6439390778541565, 0.6285838484764099, 0.7072761058807373, 0.8423739671707153, 0.6612194180488586, 0.7212073802947998, 0.6700965166091919, 0.6700747609138489, 0.6766273975372314, 0.6290147304534912]"
Too many small unusable wood scraps,"[0.6831868886947632, 0.6885995864868164, 0.6998722553253174, 0.723412275314331, 0.7177663445472717, 0.7363288402557373, 0.6568950414657593, 0.8891799449920654, 0.7014891505241394, 0.6959299445152283, 0.6431314945220947]"
Dirty workspace,"[0.664766252040863, 0.6520097851753235, 0.652806282043457, 0.6890223026275635, 0.6878374218940735, 0.7583656311035156, 0.6727451086044312, 0.7138811945915222, 0.7070831656455994, 0.6861738562583923, 0.6628197431564331]"
Not even space,"[0.6014835834503174, 0.6510868072509766, 0.6192314624786377, 0.64790278673172, 0.6183474063873291, 0.5866117477416992, 0.6164450645446777, 0.677894115447998, 0.6476647257804871, 0.6111435294151306, 0.605616569519043]"
Others had misplaced equipment,"[0.7119022011756897, 0.7431311011314392, 0.6993626952171326, 0.6992619037628174, 0.8348274230957031, 0.7072516083717346, 0.7242398858070374, 0.739810049533844, 0.74996417760849, 0.7256308197975159, 0.6797497272491455]"
Others had misused equipment,"[0.7208247780799866, 0.7490909695625305, 0.6942095756530762, 0.7152804136276245, 0.7809955477714539, 0.7274113297462463, 0.7367426753044128, 0.7475045323371887, 0.7192240953445435, 0.73357093334198, 0.6544286012649536]"
Poor housekeeping (trash was full),"[0.6558590531349182, 0.6306323409080505, 0.6721000075340271, 0.6204932928085327, 0.6945897340774536, 0.7190306186676025, 0.6434613466262817, 0.7505879998207092, 0.6911343336105347, 0.7665268778800964, 0.6625584959983826]"
The miter saw is too tall,"[0.7088780403137207, 0.6882414817810059, 0.6639272570610046, 0.8880366683006287, 0.6865667104721069, 0.7244877815246582, 0.7271139025688171, 0.6893229484558105, 0.6738911867141724, 0.6541637182235718, 0.6335246562957764]"
Trash bag was ripped,"[0.6685793995857239, 0.615123450756073, 0.6834919452667236, 0.6554008722305298, 0.7350072860717773, 0.7089921236038208, 0.6884002089500427, 0.7681580185890198, 0.6486116647720337, 0.9130249619483948, 0.6389007568359375]"
Drills were too big,"[0.771489143371582, 0.8316965699195862, 0.7345399856567383, 0.6892674565315247, 0.6885911822319031, 0.6711400747299194, 0.7119277119636536, 0.6957728266716003, 0.7235548496246338, 0.6331419944763184, 0.6387115120887756]"
Lost clamps,"[0.7179813385009766, 0.6347054839134216, 0.6344165802001953, 0.6583338975906372, 0.8504231572151184, 0.6586587429046631, 0.6809672117233276, 0.6795090436935425, 0.6903568506240845, 0.6869663596153259, 0.6186948418617249]"
Too big of gloves,"[0.7125484347343445, 0.7646765112876892, 0.8004937767982483, 0.7137327194213867, 0.6717596650123596, 0.6490897536277771, 0.6651740670204163, 0.6956103444099426, 0.6555715203285217, 0.6269264221191406, 0.6281247735023499]"
Dirty Lathe,"[0.7958780527114868, 0.6791633367538452, 0.6290350556373596, 0.6897932887077332, 0.666838526725769, 0.85850989818573, 0.7804304361343384, 0.6794337034225464, 0.6792810559272766, 0.6548628211021423, 0.615955650806427]"
Lathe was tightened too much,"[0.9182189106941223, 0.7108168005943298, 0.6739898324012756, 0.6915874481201172, 0.7052319645881653, 0.783241331577301, 0.7947657108306885, 0.6434517502784729, 0.6611788272857666, 0.6283677220344543, 0.6340312957763672]"
Having to cut the wood to size,"[0.6924563646316528, 0.6744315028190613, 0.7029372453689575, 0.7597535848617554, 0.7040112614631653, 0.7130863070487976, 0.710820734500885, 0.7572560906410217, 0.7009686231613159, 0.6696683168411255, 0.6516846418380737]"
Cleaning up the area after other people neglected it,"[0.6391376256942749, 0.6128626465797424, 0.6466571092605591, 0.6445047855377197, 0.7609063982963562, 0.7036365270614624, 0.6554796695709229, 0.7286249399185181, 0.6537848711013794, 0.6871523261070251, 0.6422025561332703]"
Someone had left sawdust on their project,"[0.698119580745697, 0.674485981464386, 0.7004094123840332, 0.7305999398231506, 0.7619365453720093, 0.8439071178436279, 0.7100642919540405, 0.7820864319801331, 0.735943615436554, 0.7614920139312744, 0.7130945920944214]"
The clamp on a machine was too tight,"[0.8595091700553894, 0.7200629115104675, 0.6945070028305054, 0.7196464538574219, 0.7989073395729065, 0.7217143177986145, 0.7816884517669678, 0.6934352517127991, 0.6939376592636108, 0.6862898468971252, 0.650128960609436]"
Someone bumped into them while cutting wood,"[0.6999038457870483, 0.6634615659713745, 0.6679559946060181, 0.767051637172699, 0.7431275844573975, 0.7617529630661011, 0.7990152835845947, 0.7512255311012268, 0.7103327512741089, 0.7051485180854797, 0.6444814205169678]"
Miter saw was uncomfortable,"[0.7065500617027283, 0.6994710564613342, 0.6895540356636047, 0.8880733251571655, 0.6961969137191772, 0.7300553917884827, 0.7468674182891846, 0.6701732873916626, 0.706014096736908, 0.6696203351020813, 0.6468275189399719]"
took out the trash that had the wood scraps,"[0.6697887778282166, 0.6042841076850891, 0.6438241600990295, 0.6709107160568237, 0.750232994556427, 0.7771312594413757, 0.6735919117927551, 0.8629543781280518, 0.7047042846679688, 0.8185287117958069, 0.6450244188308716]"
had to search for smaller drill,"[0.7474143505096436, 0.7956106662750244, 0.7045018672943115, 0.683753490447998, 0.7219070792198181, 0.6662495732307434, 0.7036599516868591, 0.7027644515037537, 0.8593714237213135, 0.6304956674575806, 0.6373230218887329]"
cleaning up the lathe machine,"[0.7691301107406616, 0.6187731623649597, 0.6228359937667847, 0.6560198664665222, 0.6603078246116638, 0.8665750622749329, 0.7478463649749756, 0.6527949571609497, 0.6536258459091187, 0.6523295640945435, 0.6035746335983276]"
restart the lathe after accidentally bumping into it,"[0.7574443221092224, 0.6079303622245789, 0.6183679699897766, 0.6652498245239258, 0.694446325302124, 0.7787726521492004, 0.8182185888290405, 0.6241527795791626, 0.6566559672355652, 0.6625074744224548, 0.6329078078269958]"
The right sized gloves were unavailable,"[0.7097374796867371, 0.7732744812965393, 0.8486649394035339, 0.6988081336021423, 0.7247139811515808, 0.6553212404251099, 0.6860080361366272, 0.7283576130867004, 0.6882187128067017, 0.6896206140518188, 0.6813548803329468]"
The clamps used for drilling were misplaced,"[0.7889599204063416, 0.7374076247215271, 0.6794734001159668, 0.6932346820831299, 0.8627833724021912, 0.7128257155418396, 0.7296491265296936, 0.7125519514083862, 0.7580265998840332, 0.6992215514183044, 0.6670737862586975]"
Someone had left chips of wood in the miter saw,"[0.6982182860374451, 0.6905247569084167, 0.6623327732086182, 0.8013777732849121, 0.7446606159210205, 0.824761152267456, 0.7381296157836914, 0.7593196630477905, 0.7479020953178406, 0.7349323034286499, 0.678972601890564]"
The chuck for the lathe was tightened too much,"[0.9433708786964417, 0.7173669934272766, 0.6813832521438599, 0.6790702939033508, 0.7096010446548462, 0.7717933058738708, 0.7974610328674316, 0.6594351530075073, 0.6871634125709534, 0.6450704336166382, 0.6451682448387146]"
someone left useless scrap,"[0.6822277903556824, 0.6633462905883789, 0.6816829442977905, 0.6801666021347046, 0.7987449765205383, 0.7429412007331848, 0.69676274061203, 0.8286610245704651, 0.6947004199028015, 0.7805081009864807, 0.6829973459243774]"
trash was full and had to be taken out,"[0.6679580807685852, 0.6338339447975159, 0.6850578784942627, 0.6179547905921936, 0.7535128593444824, 0.7093245983123779, 0.666549801826477, 0.7858946323394775, 0.6721939444541931, 0.8217207193374634, 0.6597839593887329]"
workspace was left messy by other user,"[0.6993335485458374, 0.6374418139457703, 0.676043689250946, 0.674492597579956, 0.7277776598930359, 0.7700760960578918, 0.7006725668907166, 0.7011128664016724, 0.7060968279838562, 0.7260546088218689, 0.6918887495994568]"
lathe chuck was too tight,"[0.9203046560287476, 0.7107945084571838, 0.6790692806243896, 0.6767937541007996, 0.7029313445091248, 0.7598010897636414, 0.7947551608085632, 0.6615521907806396, 0.6921377182006836, 0.6328572630882263, 0.6348555088043213]"
lathe was messy,"[0.8259844779968262, 0.6827071905136108, 0.6709614396095276, 0.7028543949127197, 0.6770875453948975, 0.8725615739822388, 0.7948192954063416, 0.6900920271873474, 0.6842486262321472, 0.6640434265136719, 0.6414049863815308]"
couldn't find clamps or fixturing for epoxying,"[0.7249432802200317, 0.6909547448158264, 0.7897019982337952, 0.6499256491661072, 0.7712269425392151, 0.6626794338226318, 0.6885172724723816, 0.6761761903762817, 0.6991629600524902, 0.6574174165725708, 0.7255852818489075]"
drills/batteries were unavailable when needed,"[0.7039173245429993, 0.7951020002365112, 0.712605893611908, 0.6641844511032104, 0.7346879839897156, 0.6657660007476807, 0.6948691606521606, 0.6798291802406311, 0.7497950196266174, 0.6446895599365234, 0.653769850730896]"
emergency stop,"[0.6431396007537842, 0.6509529948234558, 0.658598005771637, 0.6721535921096802, 0.7087475061416626, 0.637771725654602, 0.798765242099762, 0.6343322396278381, 0.668753981590271, 0.6976478099822998, 0.6936653852462769]"
garbage bag ripped,"[0.6329153180122375, 0.5793125629425049, 0.6512616276741028, 0.6358671188354492, 0.6911904215812683, 0.68425452709198, 0.6558372378349304, 0.728704571723938, 0.6197924017906189, 0.8869141936302185, 0.6070755124092102]"
lathe too tall,"[0.8112536072731018, 0.7008877396583557, 0.6614080667495728, 0.7570804953575134, 0.6627799868583679, 0.7762863039970398, 0.7759557366371155, 0.6609076857566833, 0.6573307514190674, 0.5990874767303467, 0.6176559925079346]"
18V too big,"[0.6801825761795044, 0.8214876055717468, 0.6643194556236267, 0.6510746479034424, 0.6088783740997314, 0.6191971302032471, 0.6574790477752686, 0.6253141760826111, 0.6988790035247803, 0.5931658148765564, 0.6445608139038086]"
stuff in the way,"[0.7021820545196533, 0.6613834500312805, 0.6442733407020569, 0.7035706639289856, 0.7204037308692932, 0.6994455456733704, 0.7073154449462891, 0.700576901435852, 0.6876623630523682, 0.6929483413696289, 0.6572083830833435]"
Couldn't find right drill bit,"[0.7305362820625305, 0.7486205697059631, 0.6745012402534485, 0.6211279630661011, 0.6891914010047913, 0.6699561476707458, 0.7042470574378967, 0.6420012712478638, 0.7920532822608948, 0.6447798609733582, 0.6560359001159668]"
Small wood chips that can't be used,"[0.6680192351341248, 0.6935068368911743, 0.6960711479187012, 0.7064759731292725, 0.6909089088439941, 0.7583721876144409, 0.6710719466209412, 0.8246732354164124, 0.7121319770812988, 0.6830399036407471, 0.6422669887542725]"
Ripped garbage bag,"[0.635550856590271, 0.5735867619514465, 0.6475980877876282, 0.6329500079154968, 0.6925841569900513, 0.6903426647186279, 0.6509457230567932, 0.7322439551353455, 0.6213604211807251, 0.8838697671890259, 0.6071807742118835]"
Uncleaned station,"[0.6365145444869995, 0.6105167865753174, 0.624506413936615, 0.6499447226524353, 0.708037257194519, 0.6687135100364685, 0.6589649319648743, 0.6533517241477966, 0.6463292241096497, 0.6829130053520203, 0.6379261612892151]"
Someone bumped into her,"[0.6740413308143616, 0.6208066940307617, 0.639493465423584, 0.6815924644470215, 0.7376309037208557, 0.6855959892272949, 0.7682469487190247, 0.6588279604911804, 0.6954496502876282, 0.7319225072860718, 0.6586726903915405]"
Ripped trash bag,"[0.6334193348884583, 0.5735260248184204, 0.6474533677101135, 0.6323209404945374, 0.6962804198265076, 0.6899076700210571, 0.6527996063232422, 0.7423855066299438, 0.6281824707984924, 0.8924174904823303, 0.6043418645858765]"
Clips not put back,"[0.6855521202087402, 0.6469963192939758, 0.6355729699134827, 0.6531217098236084, 0.7790377736091614, 0.6442854404449463, 0.6856470704078674, 0.6665505766868591, 0.6370471119880676, 0.6940850615501404, 0.6398745775222778]"
Waiting 24 hours to cure,"[0.6022555828094482, 0.6125957369804382, 0.6659464240074158, 0.5918803811073303, 0.650238037109375, 0.6325703263282776, 0.6312210559844971, 0.5808526873588562, 0.6263208985328674, 0.5921531915664673, 0.8316149115562439]"
Needed smaller drill,"[0.7678331136703491, 0.7974552512168884, 0.6936101317405701, 0.7044828534126282, 0.7009279727935791, 0.6875772476196289, 0.7267333269119263, 0.6872884631156921, 0.8318958878517151, 0.6374914050102234, 0.6665380001068115]"
Machine covered in dust,"[0.7116879224777222, 0.6728528738021851, 0.6523230075836182, 0.7217699289321899, 0.6699323058128357, 0.8325951099395752, 0.7366094589233398, 0.6716175079345703, 0.7025690674781799, 0.7085531949996948, 0.6413569450378418]"
dirty makerspace,"[0.6486984491348267, 0.6315974593162537, 0.6375973224639893, 0.6681695580482483, 0.6679676175117493, 0.7427949905395508, 0.6728155612945557, 0.6943074464797974, 0.697735607624054, 0.672940194606781, 0.6474131941795349]"
unorganized tools,"[0.711023211479187, 0.7403475642204285, 0.6923386454582214, 0.6972039937973022, 0.7130705118179321, 0.7385381460189819, 0.7003136277198792, 0.7236296534538269, 0.771918535232544, 0.6750830411911011, 0.6008809208869934]"
lack of awareness,"[0.6593105792999268, 0.6793221831321716, 0.6717657446861267, 0.6947513818740845, 0.7247280478477478, 0.6569924354553223, 0.6645668745040894, 0.6757638454437256, 0.6671544909477234, 0.6606948971748352, 0.6419049501419067]"
ripped trashbag,"[0.6460303068161011, 0.5926740765571594, 0.6531287431716919, 0.6367615461349487, 0.7087595462799072, 0.6864991188049316, 0.6681638360023499, 0.745638370513916, 0.6480373740196228, 0.8809570670127869, 0.6168473362922668]"
very small scrap pieces of wood,"[0.6644605994224548, 0.6810696721076965, 0.6568681001663208, 0.6967651844024658, 0.6970922350883484, 0.7437620162963867, 0.6733742356300354, 0.8669053912162781, 0.7067021131515503, 0.6695554256439209, 0.6270061731338501]"
Not being able to find the right drill,"[0.7169662117958069, 0.7575254440307617, 0.6789240837097168, 0.6644999980926514, 0.7066120505332947, 0.6494109630584717, 0.7008154988288879, 0.6542522311210632, 0.7958012819290161, 0.638216495513916, 0.6380304098129272]"
Miter saw table too high,"[0.6788288950920105, 0.6361998319625854, 0.6237411499023438, 0.8749292492866516, 0.6523874998092651, 0.6936618089675903, 0.6911086440086365, 0.6587209701538086, 0.6276080012321472, 0.5967061519622803, 0.6073299646377563]"
Can�t find disposable gloves,"[0.6231867074966431, 0.6842337846755981, 0.8244853615760803, 0.6496891379356384, 0.7037573456764221, 0.6391278505325317, 0.6054933667182922, 0.684998095035553, 0.6930579543113708, 0.6757489442825317, 0.6527650952339172]"
Can�t find clamp,"[0.7161072492599487, 0.6307353377342224, 0.6332345008850098, 0.6613523364067078, 0.8429278135299683, 0.6452308297157288, 0.6804708242416382, 0.6504517197608948, 0.7195693254470825, 0.6824630498886108, 0.6201872825622559]"
Not enough safety area around lathe,"[0.7690380811691284, 0.6974267959594727, 0.6957942247390747, 0.7512696981430054, 0.6909124851226807, 0.7647395133972168, 0.7821164131164551, 0.6511064171791077, 0.6488404273986816, 0.587304413318634, 0.6238195300102234]"
Equipment left in messy environment ,"[0.7037806510925293, 0.7027220129966736, 0.6813681125640869, 0.7044678330421448, 0.7439823150634766, 0.7924162149429321, 0.7077468633651733, 0.7239449620246887, 0.7245990037918091, 0.7185156941413879, 0.6659165024757385]"
Trash bag ripped,"[0.6326498985290527, 0.5803611278533936, 0.6492695212364197, 0.6363754272460938, 0.6950910687446594, 0.6847430467605591, 0.6601758003234863, 0.739888072013855, 0.6271114945411682, 0.8954662084579468, 0.6041435599327087]"
unorganized tool storage,"[0.6972004175186157, 0.7182160019874573, 0.6878761053085327, 0.6932759881019592, 0.7169306874275208, 0.7327948212623596, 0.6754604578018188, 0.716899573802948, 0.7813767194747925, 0.6661269664764404, 0.6154332160949707]"
messy workspaces,"[0.6507209539413452, 0.6386063098907471, 0.6469281315803528, 0.6750352382659912, 0.6670584082603455, 0.7226250171661377, 0.6587679982185364, 0.6932989954948425, 0.6808988451957703, 0.6564381122589111, 0.6437568068504333]"
"dangerous tool setup (lathe not clean, drills, etc.)","[0.7749988436698914, 0.7216819524765015, 0.674658477306366, 0.7133191227912903, 0.6714855432510376, 0.8075937032699585, 0.7546499967575073, 0.6381439566612244, 0.6805098652839661, 0.6189674139022827, 0.6011244654655457]"
"improper equipment (gloves, drills)","[0.7027444839477539, 0.7429545521736145, 0.694313108921051, 0.6750482320785522, 0.6730528473854065, 0.6967764496803284, 0.7054747939109802, 0.6252450346946716, 0.6917333602905273, 0.6666966080665588, 0.6153838634490967]"
The miter saw table was too high,"[0.7293637990951538, 0.6840065121650696, 0.6724884510040283, 0.8787957429885864, 0.704924464225769, 0.7325137257575989, 0.7277635931968689, 0.7185652852058411, 0.662368655204773, 0.6573976278305054, 0.6440249681472778]"
The 18v drills were too powerful,"[0.7287286520004272, 0.8720148801803589, 0.6609945893287659, 0.6634971499443054, 0.6431300044059753, 0.6492921113967896, 0.6896486878395081, 0.659090518951416, 0.7161889672279358, 0.5972221493721008, 0.6248140335083008]"
There weren't any clamps put away,"[0.6998208165168762, 0.6784963011741638, 0.6601448059082031, 0.6617262363433838, 0.8368384838104248, 0.6482847929000854, 0.6589643955230713, 0.7019204497337341, 0.653937578201294, 0.6379954218864441, 0.6354211568832397]"
Miter Saw,"[0.6712267994880676, 0.6651310920715332, 0.6254850029945374, 0.8151076436042786, 0.6779732704162598, 0.7378952503204346, 0.7201192378997803, 0.6504416465759277, 0.7229145169258118, 0.6677492260932922, 0.6236721277236938]"
Clamps,"[0.7335435152053833, 0.618320643901825, 0.6133850812911987, 0.675878643989563, 0.80751633644104, 0.6596733927726746, 0.7055074572563171, 0.6445027589797974, 0.656287431716919, 0.647494375705719, 0.6176148056983948]"
18v Drill,"[0.6767948269844055, 0.8069096803665161, 0.5949992537498474, 0.6156269311904907, 0.5917982459068298, 0.6566603183746338, 0.6954081654548645, 0.5527269840240479, 0.7633131146430969, 0.5842200517654419, 0.6282760500907898]"
Trash bag ripped,"[0.6326498985290527, 0.5803611278533936, 0.6492695212364197, 0.6363754272460938, 0.6950910687446594, 0.6847430467605591, 0.6601758003234863, 0.739888072013855, 0.6271114945411682, 0.8954662084579468, 0.6041435599327087]"
Saw off track,"[0.6869428157806396, 0.6760197281837463, 0.6573041081428528, 0.7366251945495605, 0.7367231249809265, 0.734265923500061, 0.7249624133110046, 0.6868709325790405, 0.7032132148742676, 0.6835839152336121, 0.6663262248039246]"
The equipment was dirty,"[0.7350305914878845, 0.7307798266410828, 0.6922311186790466, 0.7147272229194641, 0.739935576915741, 0.8140407204627991, 0.7471439838409424, 0.730442464351654, 0.7345370650291443, 0.7537224292755127, 0.6748571991920471]"
Some tools weren't in their correct places,"[0.7630219459533691, 0.7727015018463135, 0.7258172631263733, 0.7297694087028503, 0.777455747127533, 0.744055449962616, 0.7396275401115417, 0.7577347159385681, 0.7424603700637817, 0.6997392177581787, 0.659899890422821]"
People weren't being specially aware,"[0.6936623454093933, 0.6969069838523865, 0.7148476839065552, 0.6829749345779419, 0.7605664730072021, 0.6776731610298157, 0.6858615279197693, 0.712809145450592, 0.6591304540634155, 0.6695050001144409, 0.6870840787887573]"
Some of the equipment was too big for her,"[0.7731147408485413, 0.7745425701141357, 0.7512668371200562, 0.7366961240768433, 0.733349084854126, 0.6983266472816467, 0.7288429737091064, 0.737882673740387, 0.7094343900680542, 0.6903641223907471, 0.6557894349098206]"
The bag of scraps ripped,"[0.6640533804893494, 0.6192330718040466, 0.6655957102775574, 0.6661739349365234, 0.7297105193138123, 0.7242389917373657, 0.680290162563324, 0.7922913432121277, 0.6529275178909302, 0.855559229850769, 0.6264069080352783]"
She had to wait a day for the epoxy to dry,"[0.6878594756126404, 0.6320671439170837, 0.7631270289421082, 0.6464942097663879, 0.7057916522026062, 0.7008264064788818, 0.6894750595092773, 0.6753039360046387, 0.6436755657196045, 0.6515474915504456, 0.8635715246200562]"
