Speech Segment,Open code(s)
"No, just uhm, we are aiming for like the biggest category, which is like general overall prize? Yeah, that's that's where I'm like, apprehensive. Yeah, that's the hardest to win. Hence the fear. Uhhhhh",Apprehension
There are 12 finalist teams.,
"Yeah, like 1000 hackers",
Which would be 100 teams.,
"We could still do that the control robot with camera gestures. I have the servos, which is the one, we could do that one.",Suggestion to switch ideas to align with individual goal
"That's no, I don't want",
"Nah I don't want to disrupt you, I mean, you guys clearly have got your flow, you know what I mean",Awareness of conflict inducing behaviour
The flow ,
If we can have something like a use case for this.,Revisiting other idea
"Yeah, I think that's missing a use case, yeah.",
"Like well over the use case for that be control robot, so it would just move like up and down. But we're talking.",Clarification of idea
Like 3 axis movements so.,
"OK. But then like it, it mimics your hand, right? Or someones arm?",
"The end effector? I don't know. It could just be a stick. Like it. Yeah, but it has three joints, so. But the goal is to mimic the, the arm, but then if?",
"Yeah, OK.",
You say that that's the only thing I'm concerned about because.,
"If the arm is fluid, or if the arm is much more, there's more degrees of freedom in the arm.",
"Like, that's what I mean. Like it's going to detect all like 6 degrees, right? Or is just going to take 3?",
"Like, how would it do that? So I'm just going to be like",
"There is a thing called open pose or something and it's able to detect like angles between each joint, yeah. And then so it should be able to do like angle between these and then this and then another.",Explanation of an idea
"And then calculate. The end effector, yeah. OK.",
"And then so like, I mean on the low level side, you would run a inverse kinematics. Inverse. Yeah. Yeah, or",
Or you could quite literally just.,
It would have been should be lower.,
"Yeah, yeah, yeah. You wouldn't even need. You could just calculate the end effector itself like you want to need to. Yeah. Very simple or yeah.",
It's very simple….in a way,
"I mean the arm detection part, right? But then that's the thing. Like we have no spaces. But we use this up for that. It would be cool because I don't think anybody else has built like that, yeah. I don't think.",Uniqueness of project
Is it feasible within a hackathon?,Feasibility of idea
I think if we find a way to mount the servos very well.,
Oh am I muted?,
Why do you guys mute it so much?,
"I don't know. I didn't touch it. I. Might have been an accident, but. Yeah, if we can mount the servers well enough it'll work. It's cool. It's a cool demo.",
"For sure. Wait, no, I feel pretty bad. I feel like I'm blocking you. Guys from that idea.",Awareness of conflict inducing behaviour
"It's okay, like everyone, everyone has their motivation in this like I get it. It's fine.",Recognition of individual goals
"Whichever decision you want to get to it, we just gotta get to one.",Forcing decision
"OK, OK. Is it OK then if like? This is going to sound super asshole, but like is it OK then if like should I like split separately and do my own thing? I feel like I'm pushing this agenda on you guys, OK and it's like really, really like solo. Like it's it's like like I agree with you guys, you guys should be doing this for fun and like.",Permission to leave team
No it's fine. I get that.,
"Yeah. What do you guys think? Like I'm honestly. OK, with that as well.",Checking in with others
"I get it bro. Like. No. Like everyone has their own motivations in this. Don’t feel bad, it's alright.",Recognition of individual goals
"Yeah, yeah, yeah.",
Like you came here. Like if you came here like you should do what you want to do. Right. You know what you feel most comfortable with,Alignment of individual goal with team goal
"Yeah. No, I mean, I'm not gonna lie. I didn't expect to be like this and I came here and now again I feel like I should, I just want to compete now. So yeah, yeah.",Change of individual goal
That's cool. OK.,
But I don’t want to like screw you guys over at all so. I will leave this up for discussion.,Awareness of conflict inducing behaviour
"Its okay bro, don't worry about it. It's all good. Don't worry about it. But yeah, all right, sweet.",Reassurance
We'll build something out so.,
"I mean, I think you guys can do this. I really think it's fun, I wish there was a computer vision prize.",Reassurance
I lowkey like this idea.,Validation of idea
"Yeah, I know you guys like this idea, I feel really bad.",Alignment of individual goal with team goal
"You don't gotta feel bad if you wanna do your thing. You do your thing, and then we'll just post again on the looking for team chat.",Reassurance
"Yeah, it's all good bro, really. Like, it's fine. Don't worry",
You guys okay?,Checking in with others
"Yeah, 100%",
"Alright. Yeah, yeah, yeah. Just checking.",
"Don't worry, like actually 100%. It's all good. Don't worry about it.",
"OK, OK. Alright. Thanks guys. Sorry about this.",
"Yeah, of course.",
No worries.,
So I will root for you guys to reach top 12.,Well wishes
Hopefully you get one prize,
"No, I'm not go to hope, maybe blockchain alright. Yeah, but yeah, yeah.",
Sounds good. But hopefully we can. Pitch this idea in the group and hopefully someone.,Recruitment of new team member
"Yeah, yeah. And I can do the whole CV thing. So that's fine. No worries, I can do the whole CV thing so.",Taking on duties of leaving team member 
Don't think.,
CV thing?,
The computer vision.,
Yeah. OK. I was like someone was applying for a job?,
We'll be OK.,
"All right, good.",
All right. Thanks guys.,
"Yeah, no worries, man.",
"Good luck, guys",Well wishes
Thank you.,
"Yeah, I was gonna. I was gonna.",
Are you going to solo or try to find a different team?,
I don't know. I think I'll try to find. OK. But I'll think of an idea first for myself.,Hackathon strategy
Are you thinking blockchain?,
"Yes, yes. Yeah. Cause just the prize pool is crazy",Prizes
Sounds good.,
"Was this crazy? Holy shit, yeah.",
Right,
"This guy just said, you know, does anyone know where I can get more food? Relatable. Honestly relatable.",
Both across the bridge. But I don't know but once.,
Hopefully they do. Do they only let you take 1 snack?,
"Or something. No, it's. I think it's. I just saw so many people just like, get food and food and food.",
"OK, I'm gonna look at something longer.",
"Yeah, I'll join you. I don't mind.",
"Yeah, let's go.",Break
Should I leave this here?,Member leaves
"Here we're all conquered and divided, right? You're all taking a break, yeah.",Process
Little break.,
"The reality star thing is really going on, I've never muted it.",
"Actually lowkey, I might get the food and then just hit the hay.",
"Yeah, right. I'll be grinding. Running just like this.",
What are you going to be grinding on?,
We have a lot to do.,
I may not be present tomorrow morning,
That's fair,
"OK, like you gotta do like this spread. Leaving your laptop here overnight. Yeah, I will. So we're not leaving.",Member leaves
Like ever like for 36 hours?,
So you guys are just going to be here like?,
"Oh, OK.",
But I just leave this bag and just got like good.,
"OK. I'll just leave it here. Is that OK? Thanks. Yeah, of course, yeah. Oh my God. And also, yeah, I'm fine. Fine. OK. Possibly. Yeah. You gonna be? Think it's snoring actually.",
OK. It's going alright,
"I'm just setting up some basic stuff right now. Copying some code from our previous project so that we can reuse them and then yeah, and nothing too complicated. It's a lot of workshops. So much.",
"Another person, actually two more people.",
That's a lot of people.,
"Yeah, yeah",
Still looking for a team.,
When are you going to go to sleep?,Fatigue
Soon,
I think I got,
Couple hours?,
One more hour in me. We'll see.,
There is one who wants to meet us right now.,First mention of new team member
OK.,
I think [Speaker 5],
"Do [they], like, want to come here or what's that?",
I'll just wait by the door.,
"Yeah, I'll do.",
"Well, we may have to ask [them] about about that?",
Yeah. OK.,
So this is Speaker 4,
Speaker 4.,
